zabbix_host,train,type,coach,ip,mac,serial,config,firmware
50_4036_MAR3-B1,4036,AP,2,10.179.36.150,00:14:5A:04:7F:3F,3623-073001-1-05-00001307-2406,AP1-v1,6.10.0-0
50_4036_MAR3-B1,4036,BOX,2,10.179.36.1,7C:70:BC:70:D9:75,box1-t36.dostoneu-nv4.21net.com,2025.2.1 - e6063e7f - _,6.1.0-31-amd64
50_4036_MAR3-B1,4036,SW,2,10.179.36.179,A0:59:3A:D0:68:20,240833,nv4-G3-v6-010,7.4.2
50_4036_MAR3-B1,4036,SW,2,10.179.36.183,A0:59:3A:D0:75:E0,240943,nv4-G1-v6-010,7.4.2
50_4036_MAR3-B1,4036,SW,2,10.179.36.184,A0:59:3A:D0:91:E0,251167,nv4-G2-v6-010,7.4.2
50_4036_MAR3-B1,4036,AP,3,10.179.36.140,00:14:5A:04:AF:DB,3623-073001-1-05-00001519-2442,AP4-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,3,10.179.36.146,00:14:5A:04:7D:FB,3623-073001-1-05-00001226-2406,AP3-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,3,10.179.36.147,00:14:5A:04:B0:D6,3623-073001-1-05-00001571-2442,AP2-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,3,10.179.36.152,00:14:5A:04:7F:E8,3623-073001-1-05-00001349-2406,AP1-v1,6.10.0-0
50_4036_MAR3-B1,4036,SW,3,10.179.36.181,A0:59:3A:D0:71:E0,240911,nv4-E2-v6-010,7.4.2
50_4036_MAR3-B1,4036,SW,3,10.179.36.182,A0:59:3A:D0:76:A0,240949,nv4-E3-v6-010,7.4.2
50_4036_MAR3-B1,4036,SW,3,10.179.36.187,A0:59:3A:D0:6B:00,240856,nv4-E1-v6-010,7.4.2
50_4036_MAR3-B1,4036,AP,4,10.179.36.139,00:14:5A:04:7D:63,3623-073001-1-05-00001188-2406,AP4-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,4,10.179.36.143,00:14:5A:04:7E:33,3623-073001-1-05-00001240-2406,AP3-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,4,10.179.36.144,00:14:5A:04:80:3C,3623-073001-1-05-00001370-2406,AP2-v1,6.10.0-0
50_4036_MAR3-B1,4036,AP,4,10.179.36.151,00:14:5A:04:7F:E0,3623-073001-1-05-00001347-2406,AP1-v1,6.10.0-0
50_4036_MAR3-B1,4036,SW,4,10.179.36.185,A0:59:3A:D0:67:00,240824,nv4-B2-v6-010,7.4.2
50_4036_MAR3-B1,4036,SW,4,10.179.36.186,A0:59:3A:D0:6B:E0,240863,nv4-B3-v6-010,7.4.2
50_4036_MAR3-B1,4036,SW,4,10.179.36.188,A0:59:3A:D0:6A:40,240850,nv4-B1-v6-010,7.4.2
50_4037_MAR3-B1,4037,AP,1,10.179.37.222,00:14:5A:04:B3:BD,3623-073001-1-05-00001703-2442,AP4-v1,6.11.2-0
50_4037_MAR3-B1,4037,AP,1,10.179.37.225,00:14:5A:04:AD:EE,3623-073001-1-05-00001736-2444,AP3-v1,6.11.2-0
50_4037_MAR3-B1,4037,AP,1,10.179.37.227,00:14:5A:04:47:66,3623-073001-1-05-00000553-2319,AP1-v1,6.11.2-0
50_4037_MAR3-B1,4037,AP,1,10.179.37.228,00:14:5A:04:B0:6F,3623-073001-1-05-00001556-2442,AP2-v1,6.11.2-0
50_4037_MAR3-B1,4037,SW,1,10.179.37.178,A0:59:3A:D0:21:20,230265,nv4-A3-v8-012,7.4.2
50_4037_MAR3-B1,4037,SW,1,10.179.37.180,A0:59:3A:D0:90:40,251154,nv4-A1-v8-012,7.4.2
50_4037_MAR3-B1,4037,SW,1,10.179.37.189,A0:59:3A:D0:47:40,230570,nv4-A2-v8-012,7.4.2
50_4037_MAR3-B1,4037,AP,2,10.179.37.219,00:14:5A:04:AD:AA,3623-073001-1-05-00001777-2444,AP4-v1,6.11.2-0
50_4037_MAR3-B1,4037,AP,2,10.179.37.226,00:14:5A:04:B4:5F,3623-073001-1-05-00001720-2442,AP3-v1,6.11.2-0
